case_id,family,label,formula,natoms,initial_energy_eV,final_energy_eV,deltaE_family_eV,energy_per_atom_eV,max_force_eVA,n_steps,converged,stage,site,co_idx,orientation,vacancy_site
131,vacancy_center__H2O,H2O_offset_y+_h1p90_co_bound_tilt0_az0,H2Ba16Co16O48,82,-535.3251342773438,-537.25830078125,0.106689453125,-6.551930497332317,0.21610862016677856,14,True,stage1,vacancy_center,,co_bound_tilt0_az0,
118,vacancy_center__H2O,H2O_offset_x+_h1p90_co_bound_tilt0_az0,H2Ba16Co16O48,82,-535.4561767578125,-537.2513427734375,0.1136474609375,-6.551845643578506,0.8314392566680908,16,False,stage1,vacancy_center,,co_bound_tilt0_az0,
93,vacancy_center__H2O,H2O_center_h1p80_co_bound_tilt30_az0,H2Ba16Co16O48,82,-535.5159912109375,-537.2495727539062,0.11541748046875,-6.551824057974467,0.6583264470100403,16,False,stage1,vacancy_center,,co_bound_tilt30_az0,
99,vacancy_center__H2O,H2O_center_h1p80_co_bound_tilt30_az180,H2Ba16Co16O48,82,-535.5159912109375,-537.2495727539062,0.11541748046875,-6.551824057974467,0.6583271622657776,16,False,stage1,vacancy_center,,co_bound_tilt30_az180,
127,vacancy_center__H2O,H2O_offset_x+_h1p90_co_bound_tilt30_az240,H2Ba16Co16O48,82,-535.37939453125,-537.2489624023438,0.11602783203125,-6.551816614662728,0.8820692896842957,16,False,stage1,vacancy_center,,co_bound_tilt30_az240,
129,vacancy_center__H2O,H2O_offset_x+_h1p90_co_bound_tilt30_az300,H2Ba16Co16O48,82,-535.37939453125,-537.2489624023438,0.11602783203125,-6.551816614662728,0.8820746541023254,16,False,stage1,vacancy_center,,co_bound_tilt30_az300,
94,vacancy_center__H2O,H2O_center_h1p80_co_bound_tilt30_az30,H2Ba16Co16O48,82,-535.4518432617188,-537.24072265625,0.124267578125,-6.5517161299542686,0.7313120365142822,16,False,stage1,vacancy_center,,co_bound_tilt30_az30,
98,vacancy_center__H2O,H2O_center_h1p80_co_bound_tilt30_az150,H2Ba16Co16O48,82,-535.4518432617188,-537.24072265625,0.124267578125,-6.5517161299542686,0.7313115000724792,16,False,stage1,vacancy_center,,co_bound_tilt30_az150,
100,vacancy_center__H2O,H2O_center_h1p80_co_bound_tilt30_az210,H2Ba16Co16O48,82,-535.4518432617188,-537.24072265625,0.124267578125,-6.5517161299542686,0.7313085794448853,16,False,stage1,vacancy_center,,co_bound_tilt30_az210,
104,vacancy_center__H2O,H2O_center_h1p80_co_bound_tilt30_az330,H2Ba16Co16O48,82,-535.4518432617188,-537.24072265625,0.124267578125,-6.5517161299542686,0.7313089966773987,16,False,stage1,vacancy_center,,co_bound_tilt30_az330,
92,vacancy_center__H2O,H2O_center_h1p80_co_bound_tilt0_az0,H2Ba16Co16O48,82,-535.5099487304688,-537.21142578125,0.153564453125,-6.551358850990853,0.6323322653770447,16,False,stage1,vacancy_center,,co_bound_tilt0_az0,
128,vacancy_center__H2O,H2O_offset_x+_h1p90_co_bound_tilt30_az270,H2Ba16Co16O48,82,-535.3147583007812,-537.2080078125,0.156982421875,-6.551317168445122,0.9070206880569458,16,False,stage1,vacancy_center,,co_bound_tilt30_az270,
120,vacancy_center__H2O,H2O_offset_x+_h1p90_co_bound_tilt30_az30,H2Ba16Co16O48,82,-535.3419799804688,-537.20703125,0.157958984375,-6.551305259146342,0.8163490891456604,16,False,stage1,vacancy_center,,co_bound_tilt30_az30,
124,vacancy_center__H2O,H2O_offset_x+_h1p90_co_bound_tilt30_az150,H2Ba16Co16O48,82,-535.3419799804688,-537.20703125,0.157958984375,-6.551305259146342,0.8163480162620544,16,False,stage1,vacancy_center,,co_bound_tilt30_az150,
137,vacancy_center__H2O,H2O_offset_y+_h1p90_co_bound_tilt30_az150,H2Ba16Co16O48,82,-535.3755493164062,-537.191650390625,0.17333984375,-6.551117687690549,0.6898793578147888,16,False,stage1,vacancy_center,,co_bound_tilt30_az150,
139,vacancy_center__H2O,H2O_offset_y+_h1p90_co_bound_tilt30_az210,H2Ba16Co16O48,82,-535.3755493164062,-537.191650390625,0.17333984375,-6.551117687690549,0.6898807287216187,16,False,stage1,vacancy_center,,co_bound_tilt30_az210,
136,vacancy_center__H2O,H2O_offset_y+_h1p90_co_bound_tilt30_az120,H2Ba16Co16O48,82,-535.2543334960938,-537.1677856445312,0.19720458984375,-6.5508266542016,0.7463437914848328,16,False,stage1,vacancy_center,,co_bound_tilt30_az120,
140,vacancy_center__H2O,H2O_offset_y+_h1p90_co_bound_tilt30_az240,H2Ba16Co16O48,82,-535.2543334960938,-537.1677856445312,0.19720458984375,-6.5508266542016,0.7463398575782776,16,False,stage1,vacancy_center,,co_bound_tilt30_az240,
95,vacancy_center__H2O,H2O_center_h1p80_co_bound_tilt30_az60,H2Ba16Co16O48,82,-535.257080078125,-537.1644897460938,0.20050048828125,-6.550786460318217,0.8597144484519958,16,False,stage1,vacancy_center,,co_bound_tilt30_az60,
97,vacancy_center__H2O,H2O_center_h1p80_co_bound_tilt30_az120,H2Ba16Co16O48,82,-535.257080078125,-537.1644897460938,0.20050048828125,-6.550786460318217,0.8597149848937988,16,False,stage1,vacancy_center,,co_bound_tilt30_az120,
